Rank,Player,Playing Since,Points as of,Points as of,Points / Day,Last Week,Puzzles Solved,Switches,Puzzles Solved 10 or less solvers,Puzzles Solved 3 or less solvers,Puzzles Created,Puzzles Created But Not Solved,Puzzles Created 10 or less solvers,Puzzles Created 3 or less solvers,Puzzles Created with 0 solvers,Small and Easy left,Special Knowledge left,Spores left,Bugs left,Spugs left,Basic Shapes left,Small Switches left,Switched left,Minibits left,Mirrors left,RSOD left,Tricksters left,Puzzlets left,Chain Letters left,Small Shape left,Fun and Easy left,Boost Me left,Structural Representation left
45,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=32487"";""stevetclark"")",10 Nov 2011,700133,700133,563,0,3468,126,0,0,53,2,0,0,0,29,15,8,82,17,10,28,93,28,108,50,38,51,45,32,37,63,159
46,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=29762"";""c-quence"")",20 Oct 2011,691115,689715,547,1400,3287,345,12,2,130,35,11,2,0,29,15,13,78,17,10,26,71,30,106,50,38,51,41,32,37,63,159
47,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=44191"";""wawan151"")",09 Jul 2012,681365,679465,681,1900,4085,124,1975,1004,781,754,749,641,221,0,0,0,0,0,10,31,100,13,109,50,18,1,30,1,37,2,0
48,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=42966"";""tbinerd"")",06 Jul 2012,674635,674635,672,0,4035,114,3,1,0,0,0,0,0,29,15,2,16,17,10,28,100,28,107,50,36,50,34,31,37,63,155
49,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=133043"";""biggestlegoheroicafanever"")",25 Jan 2014,673253,668253,1547,5000,3983,119,1,0,8,0,0,0,0,30,15,6,80,17,10,29,99,34,108,50,38,51,43,32,37,66,159
50,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=148829"";""EmilyFrost"")",23 Apr 2014,672785,672785,1938,0,4014,45,0,0,0,0,0,0,0,30,15,8,56,17,10,30,100,23,109,50,38,50,34,32,37,63,158
51,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=55300"";""jmf028"")",11 Nov 2012,667445,666945,762,500,3501,1003,286,38,244,134,59,1,0,26,12,0,36,17,10,0,87,27,66,45,38,50,45,30,37,55,160
52,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=91837"";""nihilnove"")",02 May 2013,663417,663417,943,0,3624,275,1,0,4,0,0,0,0,26,9,1,14,17,10,27,100,39,100,50,38,51,45,31,37,56,160
53,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=4375"";""tommyd"")",12 Jan 2011,661768,661768,428,0,3401,101,19,0,35,0,0,0,0,22,11,0,10,17,10,31,100,39,102,50,38,51,45,30,37,70,160
54,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=2577"";""machinelves"")",12 Jan 2011,655758,655758,424,0,3379,56,0,0,7,0,0,0,0,30,15,5,67,17,10,29,100,33,108,50,38,51,45,32,37,65,160
55,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=32627"";""jandersonlee"")",14 Nov 2011,653923,653923,528,0,2221,81,0,0,204,25,0,0,0,29,13,17,5,17,10,31,100,39,109,50,38,51,45,31,37,70,160
56,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=53165"";""stlnegril9"")",07 Oct 2012,639399,639399,702,0,3022,155,34,4,28,3,3,1,0,21,13,4,60,17,10,0,100,37,91,50,38,51,45,28,37,62,160
57,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=72033"";""AndrewM2A"")",06 Feb 2013,616087,616087,781,0,3311,132,2,0,26,1,0,0,0,29,15,11,80,17,10,29,98,37,107,50,38,50,38,32,37,67,158
58,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=61888"";""DPope"")",21 Nov 2012,611811,611811,707,0,2333,89,0,0,13,3,0,0,0,32,15,19,85,17,10,30,98,35,108,50,38,51,41,32,37,70,160
59,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=47022"";""jruaya"")",07 Aug 2012,601093,601093,619,0,2842,314,12,0,12,7,0,0,0,29,15,4,73,15,10,26,100,14,89,50,34,51,45,32,37,61,160
60,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=64544"";""space_miser"")",04 Dec 2012,587861,587761,689,100,2791,104,11,5,65,42,7,3,0,29,13,2,47,15,10,31,100,39,107,50,38,51,45,32,37,69,160
61,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=59655"";""firedrake969"")",17 Nov 2012,586845,586845,675,0,2888,130,0,0,103,6,0,0,0,30,15,12,81,17,10,28,100,38,108,50,38,51,42,32,37,67,160
62,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=39309"";""fluffy3"")",22 Jun 2012,577771,577771,568,0,2861,169,1,0,178,7,0,0,0,33,15,19,85,17,10,31,73,35,106,50,38,51,40,32,37,67,156
63,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=26192"";""bill zhu"")",29 Jun 2011,555775,555775,403,0,2552,48,0,0,8,0,0,0,0,29,14,16,32,17,10,30,100,39,107,50,38,51,45,31,37,66,160
64,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=125259"";""graggy"")",19 Sep 2013,550535,550535,977,0,2771,73,0,0,0,0,0,0,0,32,15,15,75,17,10,30,100,36,108,50,38,51,45,32,37,65,160
65,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=164134"";""zima"")",24 Jun 2014,547935,546935,1922,1000,2759,65,0,0,4,0,0,0,0,31,15,14,85,17,10,31,100,38,109,50,38,51,44,32,37,68,160
